*本資料庫所列數值單位均為每100 g可食部分之含量。,,,,,,,,,,,
整合編號,食品分類,樣品名稱,內容物描述,俗名,廢棄率(%),熱量(kcal),粗蛋白(g),粗脂肪(g),飽和脂肪(g),總碳水化合物(g),反式脂肪(mg)
E6900101,蔬菜類,越瓜,"樣品狀態:生; 前處理描述:去蒂及籽,混合均勻打碎","醃瓜,菴瓜,梢瓜,酥瓜,甜瓜,羊角瓜,稍瓜,生瓜,白瓜,青瓜,百香胡瓜",20,18,0.6,0.1,,4.1,
E70001,蔬菜類,蒲瓜平均值,"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","扁蒲,蒲仔,瓠子(瓜/餔),匏仔(瓜),葫蘆瓜,瓢簞,天瓜,龍蛋瓜,蒲(葫/壺)蘆",16,18,0.5,0.1,0.1,4,
E7000101,蔬菜類,蒲瓜(長形),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","扁蒲,蒲仔,瓠瓜,匏瓜,葫蘆瓜,瓢簞,天瓜,龍蛋瓜,蒲(葫/壺)蘆",19,19,0.5,0.1,,4.2,
E7000102,蔬菜類,蒲瓜(圓形),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","扁蒲,蒲仔,瓠瓜,匏瓜,葫蘆瓜,瓢簞,天瓜,龍蛋瓜,蒲(葫/壺)蘆",12,18,0.6,0.1,0,4,
E7000201,蔬菜類,花蒲瓜(圓形),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","扁蒲,蒲仔,瓠瓜,匏瓜,葫蘆瓜,瓢簞,天瓜,龍蛋瓜,蒲(葫/壺)蘆",19,15,0.3,0,,3.5,
E7000301,蔬菜類,葫蘆瓜,"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","扁蒲,蒲仔,瓠瓜,匏瓜,葫蘆瓜,瓢簞,天瓜,龍蛋瓜,蒲(葫/壺)蘆",11,20,0.5,0.3,,4.1,
E7100101,蔬菜類,黃櫛瓜,"樣品狀態:生; 前處理描述:去頭尾,混合均勻打碎",,7,15,1.5,0.1,,2.7,
E7100201,蔬菜類,綠櫛瓜,"樣品狀態:生; 前處理描述:去頭尾,混合均勻打碎",,6,13,2.2,0,,1.8,
E7210101,蔬菜類,枸杞乾,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"枸杞,地骨子,甘杞,杞子,枸忌,苦杞,血杞,天精子",0,347,12.3,1.3,0.2,77.8,0
E7300101,蔬菜類,長茄子,"樣品狀態:生,長茄; 前處理描述:去蒂,混合均勻打碎","茄,茄仔,紅皮菜,紅茄(菜),紅茄仔,落蘇,崑崙瓜,紫瓜,酪酥,小蓏,長茄",11,25,1.2,0.2,0.1,5.3,
E7300201,蔬菜類,圓茄子,"樣品狀態:生,圓茄; 前處理描述:去蒂,混合均勻打碎","日本茄子,迷你茄",,21,1,0,,4.5,
E74001,蔬菜類,大番茄平均值(紅色系),"樣品狀態:生,紅色系大果; 前處理描述:去蒂,混合均勻打碎","柑仔蜜,甘仔(阿)蜜,草柿,臭柿仔,西紅柿,小金瓜,番柿,六月柿,洋柿(茄)子,紅茄,毛臘果",2,19,0.8,0.1,0,4.1,
E7400101,蔬菜類,牛番茄,"樣品狀態:生,紅色系大果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",1,19,0.7,0.1,0.1,4,
E7400102,蔬菜類,紅番茄,"樣品狀態:生,紅色系大果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",2,20,0.9,0,,4.4,
E7400103,蔬菜類,桃太郎番茄,"樣品狀態:生,紅色系大果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",3,17,0.7,0,,4,
E7400201,蔬菜類,黃番茄,"樣品狀態:生,黃色系大果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",0,23,0.9,0,0,5.3,
E74003,蔬菜類,大番茄平均值(綠色系),"樣品狀態:生,綠色系大果; 前處理描述:去蒂,混合均勻打碎","柑仔蜜,甘仔(阿)蜜,草柿,臭柿仔,西紅柿,小金瓜,番柿,六月柿,洋柿(茄)子,紅茄,毛臘果",3,22,0.7,0.1,,5,
E7400301,蔬菜類,粉柿番茄,"樣品狀態:生,綠色系大果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果(粉柿仔)",2,18,0.8,0,,4,
E7400302,蔬菜類,黑柿番茄,"樣品狀態:生,綠色系大果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",5,23,0.4,0.1,,5.6,
E7400303,蔬菜類,綠番茄,"樣品狀態:生,綠色系大果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",3,25,0.9,0.1,,5.4,
E74004,蔬菜類,小番茄平均值(紅色系),"樣品狀態:生,紅色系小果; 前處理描述:去蒂,混合均勻打碎","柑仔蜜,甘仔(阿)蜜,草柿,臭柿仔,西紅柿,小金瓜,番柿,六月柿,洋柿(茄)子,紅茄,毛臘果",1,33,0.9,0.2,0.1,7.4,0
E7400401,蔬菜類,聖女小番茄,"樣品狀態:生,紅色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",1,34,1.1,0.5,0.3,6.9,0
E7400402,蔬菜類,試交二號小番茄,"樣品狀態:生,紅色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",1,30,0.7,0,,7.2,
E7400403,蔬菜類,櫻桃小番茄,"樣品狀態:生,紅色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",1,34,0.9,0.1,,8.1,
E7400501,蔬菜類,黃金小蕃茄,"樣品狀態:生,橙色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",,31,0.8,0.2,0.2,6.8,
E74006,蔬菜類,小番茄平均值(橙色系),"樣品狀態:生,橙色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",3,31,1.1,0.2,0.1,6.9,
E7400601,蔬菜類,金女小番茄,"樣品狀態:生,橙色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",,30,1.1,0.1,,6.6,
E7400602,蔬菜類,黃金聖女小番茄,"樣品狀態:生,橙色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",,31,1,0.1,0,7,
E7400603,蔬菜類,橙蕃茄,"樣品狀態:生,橙色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",3,32,1.2,0.2,0.1,7,
E7400701,蔬菜類,香瓜茄,"樣品狀態:生; 前處理描述:去蒂及籽,混合均勻打碎","香瓜梨,南美香瓜梨",3,26,0.4,0.1,,6.2,
E75001,蔬菜類,甜椒平均值(青皮),"樣品狀態:生,青椒; 前處理描述:去蒂及籽,混合均勻打碎","青椒,(甜)番椒,青辣椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒",15,29,1,0.4,0.2,5.9,
E7500101,蔬菜類,甜椒(青皮),"樣品狀態:生,青椒; 前處理描述:去蒂及籽,混合均勻打碎","甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒(青椒,青辣椒)",17,23,0.8,0.3,0.2,4.9,
E7500102,蔬菜類,小甜椒(青皮),"樣品狀態:生,青椒; 前處理描述:去蒂及籽,混合均勻打碎","甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒(青椒,青辣椒)",17,35,1.4,0.5,,6.8,
E7500103,蔬菜類,高山甜椒(青皮),"樣品狀態:生,青椒; 前處理描述:去蒂及籽,混合均勻打碎","甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒(青椒,青辣椒)",8,30,0.9,0.6,0.2,6,
E7500201,蔬菜類,甜椒(紅皮),"樣品狀態:生,彩椒; 前處理描述:去蒂及籽,混合均勻打碎","甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒(紅椒,紅番(辣)椒,紅色大唐)",,33,0.8,0.5,,7.1,
E7500301,蔬菜類,甜椒(黃皮),"樣品狀態:生,彩椒; 前處理描述:去蒂及籽,混合均勻打碎","甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒",,28,0.8,0.3,,6,
E7500401,蔬菜類,甜椒(橙皮),"樣品狀態:生,彩椒; 前處理描述:去蒂及籽,混合均勻打碎","甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒",9,35,0.9,0.3,0.1,7.7,
E75005,蔬菜類,青辣椒平均值,"樣品狀態:生,青辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,臘椒(牛角辣椒,羊角辣椒,長辣(番)椒,青辣椒)",10,33,1.3,0.3,0.1,6.9,
E7500501,蔬菜類,角椒,"樣品狀態:生,青辣椒; 前處理描述:去蒂及籽,混合均勻打碎","辣椒,番椒,番仔薑,臘椒",17,22,0.9,0.2,,4.7,
E7500502,蔬菜類,長辣椒(青皮),"樣品狀態:生,青辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,臘椒",1,49,1.9,0.4,0.1,10.3,
E7500503,蔬菜類,糯米椒,"樣品狀態:生,青辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,臘椒(伏見甘長辣椒)",11,28,1.2,0.3,0.1,5.6,
E75006,蔬菜類,紅辣椒平均值,"樣品狀態:生,紅辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,牛角辣椒,羊角辣椒,長辣(番)椒,紅辣椒,臘椒",7,80,3.6,0.9,0.4,16.4,
E7500601,蔬菜類,長辣椒(紅皮),"樣品狀態:生,紅辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,臘椒",6,48,2.4,0.7,0.3,9.3,
E7500602,蔬菜類,朝天椒(長果),"樣品狀態:生,紅辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,臘椒,指(向)天椒,赤穗生番椒,叢果番椒,海椒",7,90,3.4,1.3,0.6,17.9,
E7500603,蔬菜類,朝天椒(圓果),"樣品狀態:生,紅辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,臘椒,指(向)天椒,赤穗生番椒,叢果番椒,海椒(雞心椒)",9,103,4.9,0.5,,21.9,
E7510101,蔬菜類,乾長辣椒(紅皮),"樣品狀態:乾貨,紅辣椒; 前處理描述:混合均勻打碎","辣椒,番椒,番仔薑,臘椒",,382,19.9,17.2,4.8,47.6,
E7600101,蔬菜類,黃秋葵,"樣品狀態:生; 前處理描述:去蒂,混合均勻打碎","秋葵,羊角豆,黃蜀葵,食香槿,假三念,黃葵",11,36,2.1,0.1,0.1,7.5,0
E7700101,蔬菜類,青花菜芽,"樣品狀態:生(含種皮,芽體,根毛); 前處理描述:混合均勻打碎","青花椰苗,青花菜苗,花菜苔芽",0,35,2.8,1,0.1,4.9,0
E7700201,蔬菜類,苜蓿芽,樣品狀態:生; 前處理描述:混合均勻打碎,苜蓿嬰,,20,3.2,0.2,0,2.5,
E7700301,蔬菜類,紫甘藍芽,"樣品狀態:生(含種皮,芽體,根毛); 前處理描述:混合均勻打碎",,,32,0.2,0.7,0.1,6.6,
E7700401,蔬菜類,黃豆芽,樣品狀態:生; 前處理描述:混合均勻打碎,大豆芽,,47,5.3,1.6,0.3,5,
E7700402,蔬菜類,"黃豆芽(有機,2023年取樣)",樣品狀態:生; 前處理描述:混合均勻打碎,大豆芽,0,41,5.1,1,0.2,5,0
E7700501,蔬菜類,黑豆芽,樣品狀態:生; 前處理描述:混合均勻打碎,,0,52,6.6,1.1,0.3,6.4,0
E7700601,蔬菜類,葵花芽,樣品狀態:生; 前處理描述:混合均勻打碎,,,26,2.5,0.4,0.1,4.3,
E7700701,蔬菜類,綠豆芽,樣品狀態:生; 前處理描述:混合均勻打碎,"豆芽菜,豆菜,綠豆菜",,24,2.3,0.2,,4.1,
E7700801,蔬菜類,豌豆芽,樣品狀態:生; 前處理描述:混合均勻打碎,"豌豆嬰,荷蘭豆芽(嬰)",0,25,4,0.4,0.2,2.9,0
E7700901,蔬菜類,蕎麥芽,樣品狀態:生; 前處理描述:混合均勻打碎,"烏麥芽,花蕎芽,荍麥芽",,20,1.9,0.2,0,3.4,
E7701001,蔬菜類,蘿蔔芽,樣品狀態:生; 前處理描述:混合均勻打碎,"蘿蔔嬰,菜頭嬰(苗/芽),菜頭苗,貝芽菜",,24,2.1,0.4,0.1,3.9,
E8700101,蔬菜類,山蘇菜,樣品狀態:生; 前處理描述:混合均勻打碎,"山蘇花,鳥巢蕨,山翅菜,雀(鳥)巢羊齒,歪頭 菜,巢鐵角蕨,掌草",,26,3,0.2,0.1,4.4,
E8800101,蔬菜類,火炭母草,樣品狀態:生; 前處理描述:混合均勻打碎,"川七,清飯藤,冷飯藤,雞糞(屎)藤,烏炭子",,12,1.6,0.4,,1.2,
E8900101,蔬菜類,石蓮花,樣品狀態:生; 前處理描述:混合均勻打碎,蓮座草,,11,0.4,0.1,0,2.2,
E9000101,蔬菜類,青葙,樣品狀態:生; 前處理描述:混合均勻打碎,"野雞冠,雞冠莧,筆雞冠,草決明",,50,2.5,1.6,,7.7,
E9100101,蔬菜類,假人蔘,樣品狀態:生; 前處理描述:混合均勻打碎,"土人參,參仔葉(草),土高麗參,臺灣(野)參,櫨蘭,東洋參,參草",,32,1.6,2.2,,2.2,
E9200101,蔬菜類,野苦瓜嫩梢,樣品狀態:生; 前處理描述:混合均勻打碎,,,77,5.7,1.7,,12.2,
E9300101,蔬菜類,過溝菜蕨,樣品狀態:生; 前處理描述:混合均勻打碎,"過貓(溝),過貓(溝)菜,蕨山貓,食用雙囊蕨",,27,3.1,0.8,,3.2,
E9400101,蔬菜類,蔘鬚,樣品狀態:乾貨; 前處理描述:混合均勻打碎,,,330,7,1.8,0.9,76.2,
E9500101,蔬菜類,龍骨瓣莕菜,"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","水蓮菜,野蓮,銀蓮花,水皮蓮,刺種莕菜,捲瓣莕菜",14,17,1.1,0.3,0.1,3.1,
E9600101,蔬菜類,薄荷,樣品狀態:生; 前處理描述:混合均勻打碎,"仁丹草,升陽藥,南薄荷,夜息花,野薄荷,新卜荷",,55,3.1,0.6,,10.9,
E9700101,蔬菜類,蕺菜,樣品狀態:生; 前處理描述:混合均勻打碎,"魚腥草,臭腥草,臭臊草,臭瘥草,手藥",,46,3.2,0.9,,7.7,
E9800101,蔬菜類,蘆薈,樣品狀態:生; 前處理描述:混合均勻打碎,盧會,70,4,0.1,0.4,,0.2,
E9900101,蔬菜類,皇宮菜,樣品狀態:生; 前處理描述:混合均勻打碎,,,22,2.2,0.3,,3.5,
E9900201,蔬菜類,香芫荽,"樣品狀態:生; 前處理描述:去莖部,混合均勻打碎",,,23,2.4,0.2,,3.9,
E9900301,蔬菜類,荷蘭豆菜心,樣品狀態:生; 前處理描述:混合均勻打碎,,,30,3.9,0.6,,3.9,
E9900401,蔬菜類,厥子,樣品狀態:生; 前處理描述:混合均勻打碎,,,23,2.3,0.2,,3.9,
E9900501,蔬菜類,義大利茼蒿,"樣品狀態:生; 前處理描述:去根部,混合均勻打碎",,5,15,1.6,0.4,0.1,1.9,
E9900601,蔬菜類,龍延草,樣品狀態:生; 前處理描述:混合均勻打碎,,,79,3.9,2.3,,12.7,
E9900701,蔬菜類,麵包果,"樣品狀態:生; 前處理描述:去心及皮,含籽,混合均勻打碎","釋迦果,馬檳榔",50,61,1,1.8,0.6,11.2,0
E9900801,蔬菜類,冰花,"樣品狀態:生,冷藏盒裝; 前處理描述:混合均勻打碎","冰菜,水晶冰花,冰葉日中花",0,7,0.8,0.1,0.1,1,0
F0110101,藻類,紅毛苔,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"海發菜,海髮菜,頭髮菜,紅毛菜",,265,39.9,1.9,1.1,36.9,
F0210101,藻類,紫菜,樣品狀態:乾貨; 前處理描述:混合均勻打碎,海苔,0,268,28.1,0.9,0.5,47.9,
F0210102,藻類,熟紫菜,樣品狀態:乾貨; 前處理描述:混合均勻打碎,海苔,,294,18.1,0.4,0.3,62.4,
F0310101,藻類,髮菜,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"頭髮菜,紅毛菜,發菜",0,302,10.3,0.5,0.3,69.5,
F0400101,藻類,麒麟菜,"樣品狀態:生,褐色; 前處理描述:混合均勻打碎","麒麟草,海麒麟草,海珊湖,珊湖藻(草),鹹(鹽/神/福)草",0,41,1,0,0,9.9,
F0410101,藻類,乾麒麟菜,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"乾麒麟草,乾海麒麟草,乾海珊湖,乾珊湖藻(草),乾鹹(鹽/神/福)草",0,189,1.2,0.5,0.2,46.7,
F0500101,藻類,礁膜,樣品狀態:生; 前處理描述:混合均勻打碎,海菜(澎湖人稱),0,16,0.3,0.1,,3.7,
F0610101,藻類,乾海茸芯,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"海海洋竹笙,乾素蹄筋",,254,8.4,0.2,,59.1,
F07001,藻類,海帶平均值,樣品狀態:生; 前處理描述:混合均勻打碎,"江白菜,昆布,海昆布",0,19,0.7,0.1,0,4.2,0
F0700101,藻類,海帶卷,樣品狀態:生; 前處理描述:混合均勻打碎,"江白菜卷,昆布卷,海昆布卷",0,14,0.7,0.2,0.1,2.8,
F0700102,藻類,海帶茸,樣品狀態:生; 前處理描述:混合均勻打碎,"江白菜茸,昆布茸,海昆布茸",0,29,1.1,0,,6.5,
F0700103,藻類,海帶梗,樣品狀態:生; 前處理描述:混合均勻打碎,海帶根,0,14,0.4,0,0,3.2,0
F0700104,藻類,海帶結,樣品狀態:生; 前處理描述:混合均勻打碎,"江白菜結,昆布結,海昆布結",,17,0.8,0.1,0,3.6,
F0700105,藻類,海帶絲,樣品狀態:生; 前處理描述:混合均勻打碎,"江白菜絲,昆布絲,海昆布絲",,22,0.7,0.1,,5,
F0710101,藻類,乾海帶,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"乾江白菜,乾昆布,乾海昆布",0,220,10,1.1,0.5,47.3,
F0800101,藻類,裙帶菜,"樣品狀態:生,經鹽醃脫水處理; 前處理描述:混合均勻打碎","海帶芽,嫩海帶",0,58,5,0,0,11.6,0
F0810101,藻類,乾裙帶菜,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"乾海帶芽,乾嫩海帶",,225,22.9,0.7,0.1,40.8,
F0810201,藻類,乾裙帶菜根,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"乾海帶芽根,乾嫩海帶根",,201,6.2,0.6,0.3,46.1,
F0910101,藻類,鳳尾藻,樣品狀態:乾貨; 前處理描述:混合均勻打碎,紫晶藻,0,213,11.7,1.3,0.9,43.9,0
F1000101,藻類,葛仙米藻,"樣品狀態:生,冷藏袋裝; 前處理描述:混合均勻打碎","雨來菇,地木耳,地軟兒,地皮菜,草皮菇,情人的眼淚",0,24,1.3,0,0,5.2,0
F9900201,藻類,壽司海苔片,前處理描述:混合均勻打碎,,,278,46.5,3.7,1,32.1,
G0100101,菇類,木耳,樣品狀態:生; 前處理描述:混合均勻打碎,"黑木耳,桑耳,白背毛木耳,木樟(檽/菌/茸/蛾/樅),樹雞(毛木耳)",0,38,0.9,0.1,0,8.8,
G0100201,菇類,冷凍木耳,樣品狀態:冷凍包裝; 前處理描述:混合均勻打碎,"黑木耳,桑耳,白背毛木耳,木樟(檽/菌/茸/蛾/樅),樹雞(毛木耳)",0,51,0.9,0.1,,12.4,
G01101,菇類,乾木耳平均值,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"黑木耳,桑耳,白背毛木耳,木樟(檽/菌/茸/蛾/樅),樹雞(毛木耳)",0,333,13.8,0.7,0.1,74.7,
G0110101,菇類,乾木耳(紅耳仔),樣品狀態:乾貨; 前處理描述:混合均勻打碎,"黑木耳,桑耳,白背毛木耳,木樟(檽/菌/茸/蛾/樅),樹雞(毛木耳)",0,329,6.1,0.2,0,79.8,
G0110102,菇類,乾木耳(黑耳仔),"前處理描述:以新鮮木耳熱風乾燥,混合均勻打碎","黑木耳,桑耳,白背毛木耳,木樟(檽/菌/茸/蛾/樅),樹雞(毛木耳)",0,338,21.4,1.2,,69.6,
G0110201,菇類,乾川耳,樣品狀態:乾貨; 前處理描述:混合均勻打碎,,0,336,9,0.3,0.1,79.4,0
G0200101,菇類,銀耳,樣品狀態:生; 前處理描述:混合均勻打碎,"白木耳,雪耳",0,31,1.1,0,0,7.2,0
G0200201,菇類,白毛木耳,樣品狀態:生; 前處理描述:混合均勻打碎,"毛木耳(白化),雪珍耳",,45,1.2,0.1,,10.6,
G0210101,菇類,乾銀耳,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"白木耳,雪耳",0,310,9.3,1.2,0.3,70.8,
G0300101,菇類,草菇,樣品狀態:生; 前處理描述:混合均勻打碎,"蘭花菇,美味草菇,包腳菇,中國蘑菇,稈(麻/貢)菇,南華菇,家生菇(小包腳菇)",0,36,3.8,0.3,,5.9,
G0400101,菇類,雞腿菇,樣品狀態:生; 前處理描述:混合均勻打碎,"雞腿(蘑)菇,雞髀菇,墨水菇,一夜菇(毛頭鬼傘)",,36,2.1,0.1,0,7.5,
G0410101,菇類,雞腿菇(乾),樣品狀態:乾貨; 前處理描述:混合均勻打碎,"雞腿(蘑)菇,雞髀菇,墨水菇,一夜菇(毛頭鬼傘)",0,298,20.1,1.4,0.2,59.8,
G0500101,菇類,松茸,"樣品狀態:生; 前處理描述:去菌柄基部,混合均勻打碎","台灣松茸,松口蘑,大花菌,松蕈,剝皮菌(台灣松口蘑)",2,36,3.1,0.5,0.1,5.9,
G0600101,菇類,雪白菇(長),樣品狀態:生; 前處理描述:混合均勻打碎,"美白菇,白精靈菇",12,36,2.1,0.4,0.1,6.9,
G0700101,菇類,柳松菇,樣品狀態:生; 前處理描述:混合均勻打碎,"柳松茸,茶樹菇,楊樹菇,田頭菇(柱狀田頭菇)",0,36,3.7,0.3,0.1,6,
G0710101,菇類,乾柳松菇,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"柳松茸,茶樹菇,楊樹菇,田頭菇(柱狀田頭菇)",,286,23.5,1.9,,53.5,
G08001,菇類,香菇平均值,樣品狀態:生; 前處理描述:混合均勻打碎,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",0,39,3,0.1,0,7.6,
G0800101,菇類,香菇(大),樣品狀態:生; 前處理描述:混合均勻打碎,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",0,37,3,0.2,0,7.1,
G0800102,菇類,香菇(小),樣品狀態:生; 前處理描述:混合均勻打碎,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",0,26,2.4,0.1,0,4.9,
G0800103,菇類,花菇,樣品狀態:生; 前處理描述:混合均勻打碎,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",0,52,3.6,0.1,0,10.7,
G08101,菇類,乾香菇平均值,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",0,321,20.9,1.6,0.3,64.9,
G0810101,菇類,乾香菇,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",0,333,23.3,1.4,0.2,66.6,
G0810102,菇類,乾花菇,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",0,317,17,1.1,0.2,67.4,
G0810103,菇類,乾白花菇,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",0,310,18.7,1.1,0.2,64.5,
G0810104,菇類,乾鈕釦菇,"樣品狀態:乾貨(香菇#271,93/03); 前處理描述:混合均勻打碎","冬(北/花/厚/毛)菇,椎茸,香蕈(信/椹),合蕈",0,325,24.6,2.7,0.4,60.9,
G1000101,菇類,姬松茸,樣品狀態:生; 前處理描述:混合均勻打碎,"姬松菇,巴西蘑菇,柏氏蘑菇,小松菇",4,40,4,0.4,0.2,6.9,
G1010101,菇類,乾姬松茸,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"姬松菇,巴西蘑菇,柏氏蘑菇,小松菇",0,294,34,2.7,0.5,46.7,
G1100101,菇類,酒杯菇,樣品狀態:生; 前處理描述:混合均勻打碎,"大杯傘,大杯菇,葉松茸,豬肚菇",0,50,4.6,0.3,0.1,9,
G1200101,菇類,秀珍菇,樣品狀態:生; 前處理描述:混合均勻打碎,"平菇,小平菇,側耳平菇,蠔菇,袖珍(鮑魚)菇(側耳)",0,28,3.3,0.1,0,4.6,
G1200201,菇類,天喜菇,樣品狀態:生; 前處理描述:混合均勻打碎,,,26,4.5,0.5,0.1,2.5,
G1200301,菇類,白蠔菇,樣品狀態:生; 前處理描述:混合均勻打碎,,,33,2.2,0.3,0.1,6.4,
G1200401,菇類,玫瑰菇,樣品狀態:生; 前處理描述:混合均勻打碎,"紅側耳,桃紅平菇,紅平菇,粉紅菇",,35,4.5,0.1,,5.6,
G1300101,菇類,杏香菇,樣品狀態:生; 前處理描述:混合均勻打碎,"香微蘑,雪茸,帝王菇,平菇王",,26,2.7,0.1,0,4.6,
G13002,菇類,杏鮑菇平均值,樣品狀態:生; 前處理描述:混合均勻打碎,"鳳尾菇,雪茸,帝王菇,平菇王,蠔菇王,干貝菇,刺芹側耳,義大利側耳,義大利蠔菌,杏鮑茸,西洋刺耳",0,41,2.7,0.2,0.1,8.3,
G1300201,菇類,杏鮑菇(大),樣品狀態:生; 前處理描述:混合均勻打碎,"鳳尾菇,雪茸,帝王菇,平菇王,蠔菇王,干貝菇,刺芹側耳,義大利側耳,義大利蠔菌,杏鮑茸,西洋刺耳",,37,2.4,0.1,0,7.5,
G1300202,菇類,杏鮑菇(中),樣品狀態:生; 前處理描述:混合均勻打碎,"鳳尾菇,雪茸,帝王菇,平菇王,蠔菇王,干貝菇,刺芹側耳,義大利側耳,義大利蠔菌,杏鮑茸,西洋刺耳",0,40,2.5,0.2,0.1,8.2,
